url,file_path,include,found_links_count,definite_links,probable_links,contains_policy,policy_content,extraction_reasoning,policy_content_path
https://medicine.yale.edu/diagnosticradiology/facintranet/policies,data/crawled_data/markdown_files/policy_depth_0_facintranet_policies.md,True,26,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/timeaway"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses"", ""https://medicine.yale.edu/diagnosticradiology/quality-safety/"", ""https://medicine.yale.edu/myysm/policies/"", ""https://files-profile.medicine.yale.edu/documents/cba873d8-f1ac-4003-a2fb-9b9745988403""]","[""https://medicine.yale.edu/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet"", ""https://medicine.yale.edu/ysm"", ""https://medicine.yale.edu/ysm/about/"", ""https://medicine.yale.edu/ysm/faculty/"", ""https://medicine.yale.edu/ysm/myysm/"", ""https://medicine.yale.edu/ysm/edu/"", ""https://medicine.yale.edu/ysm/edu/residency-fellowships/"", ""https://medicine.yale.edu/ysm/research/"", ""https://medicine.yale.edu/ysm/alumni/"", ""https://medicine.yale.edu/intranet"", ""https://medicine.yale.edu/accessibility/"", ""https://medicine.yale.edu/myysm/personal-resources/diversity-equity-inclusion/"", ""https://medicine.yale.edu/myysm/personal-resources/safety-security-resources/"", ""https://medicine.yale.edu/ysm/privacy"", ""https://yale.edu"", ""https://medicine.yale.edu/maps/"", ""https://medicine.yale.edu/calendar/"", ""/bioimaging/contact/""]",False,,"The document does not contain any actual policy text. It merely provides a list of links—both definite and probable—to various policy pages and references, along with a brief introductory statement. There is no substantive policy content within this markdown.",
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines,data/crawled_data/markdown_files/policy_depth_1_policies_guidelines.md,True,2,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/""]",[],False,,"The provided markdown content does not include any actual policy text. It merely lists links (e.g., Contrast Issues & Policies) and references to policy guidelines without containing any substantive policy details or text excerpts.",
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast,data/crawled_data/markdown_files/policy_depth_2_guidelines_contrast.md,True,17,"[""https://files-profile.medicine.yale.edu/documents/6e6c8a17-d066-48e2-b62f-1ccfd56feca5"", ""https://files-profile.medicine.yale.edu/documents/09c71c44-be7e-494d-813b-441704ea912d"", ""/diagnosticradiology/facintranet/policies/guidelines/premed/"", ""/diagnosticradiology/facintranet/policies/guidelines/oral/"", ""/diagnosticradiology/facintranet/policies/guidelines/kidney/"", ""/diagnosticradiology/facintranet/policies/guidelines/nephropathy%20/"", ""/diagnosticradiology/facintranet/policies/guidelines/glucophage/"", ""/diagnosticradiology/patientcare/policies/gadolinium/"", ""/diagnosticradiology/patientcare/policies/powerinjection/"", ""/diagnosticradiology/facintranet/policies/guidelines/breastfeeding/"", ""/diagnosticradiology/patientcare/policies/myastheniagravis/"", ""/diagnosticradiology/patientcare/policies/intraosseousneedlecontrastinjection/"", ""/diagnosticradiology/patientcare/policies/pregnantpatientpolicy/"", ""/diagnosticradiology/patientcare/policies/oralcontrastct-ed/"", ""/diagnosticradiology/patientcare/policies/suspectpeinpregnancypolicy/"", ""/diagnosticradiology/patientcare/policies/insulinpumpctpolicy/"", ""/diagnosticradiology/patientcare/policies/critguidelines/""]",[],False,,"The document does not contain actual policy text; it is essentially a navigation page containing links to various contrast-related policy documents and guidelines. The brief introductory text merely states that the information is intended as a guideline, and users are directed to click the provided links for full policy details.",
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi,data/crawled_data/markdown_files/policy_depth_1_policies_coi.md,True,2,"[""https://your.yale.edu/research-support/conflict-interest-office/policies-procedures-guidance"", ""https://provost.yale.edu/""]",[],True,"Conflict of Interest

Yale University Policy on Conflict of Interest (view full policy at: https://your.yale.edu/research-support/conflict-interest-office/policies-procedures-guidance)

YDR Conflict of Interest Policy

Principals for External Clinical, Consulting & Educational Activities

For engagement in sponsored research, in consulting, education or in other interactions with external organizations

Yale Diagnostic Radiology (YDR) has articulated the following principles to help faculty members identify and address potential, actual and apparent conflicts of interest and commitment associated with external clinical and educational activities. The fundamental premise is that each member of the Yale community has an obligation to act in the best interest of the University and in furtherance of the University's mission, and must not let outside activities or outside financial interests interfere with those obligations. Yale University’s complete policy on conflict of the interest and conflict of commitment can be viewed at: https://provost.yale.edu/

The following principles may help YDR faculty members identify and avoid potential conflicts of interest and commitment:

1. External activities should not compromise an individual's ability to perform ALL the activities (henceforth known as YDR duties) expected of him or her as a YDR faculty member, including:
   a. expected clinical and academic responsibilities
   b. requirements as stipulated for the clinical supplement (i.e. requirements necessary for adequate functioning of YDR as a whole)

2. Time commitments for external activities should be realistically assessed such that they should not compromise YDR duties.
   a. This is especially true when one takes on multiple external activities
   b. External commitments must not preclude one from being available for emergency clinical coverage

3. YDR facilities, equipment, and personnel should be used only for YDR activities and purposes (such as teleradiology), except when other uses are specifically authorized by the YDR Chair. University resources should not be used for external consulting activities, including outside legal work, that are not performed under contract with Yale University. Such resources include conference rooms, secretarial support, and office supplies.

4. External clinical activities at competing institutions may represent a conflict of interest unless there is a reciprocal benefit to YDR.

5. Lectures at outside institutions must also be presented to YDR trainees within a 2 year period (if material is deemed appropriate for the trainees).

6. Faculty members must update their conflict of interest and conflict of commitment disclosures with each new external activity.","The provided markdown contains both links to related policies and an actual policy text. The policy text begins with the 'Conflict of Interest' header and details the YDR Conflict of Interest Policy, including principles and guidelines for faculty regarding external engagements. Extraneous navigation elements such as the initial link listings have been removed, while integral policy links (i.e., those embedded within the policy text) were retained.",/Users/pouria/Documents/Coding/YDR Policy Scraping/data/processed/scraped_policies/coi.txt
https://your.yale.edu/research-support/conflict-interest-office/policies-procedures-guidance,data/crawled_data/markdown_files/full_depth_2_conflict-interest-office_policies-procedures-guidance.md,False,0,[],[],True,"Yale University Policy on Conflict of Interest
In pursuit of its own mission, and consistent with the requirements of external agencies, particularly the federal government, Yale University has formulated the [Policy on Conflict of Interest](/policies-procedures/other/yale-university-policy-conflict-interest) to identify and address potential, actual and apparent conflicts of interest and commitment. This policy is intended to increase the awareness of faculty, staff and students to the potential for conflicts of interest and commitment and to establish procedures whereby such conflicts may be avoided or properly managed.
---
Disclosure of External Activities and Financial Interests
All faculty members with University appointments of greater than 50%; all faculty who hold administrative positions; and all faculty and non–faculty personnel who are responsible for the design, conduct or reporting of research are required annually to submit a disclosure of their external activities and financial interests.
---
Yale Faculty Handbook
Section XX.E., “Outside Interests and Employment”, of Yale’s Faculty Handbook provides guidance about the amount of time that faculty members may devote to outside activities; it stipulates, for example, that a faculty member may not accept salaried employment at another institution while a full–time employee of Yale, that faculty may not spend more than one day in a seven–day work week on consulting activities, and that faculty ownership or management of private enterprises is subject to review and limitations. A link to the [Faculty Handbook](http://provost.yale.edu/faculty-handbook) is available on the Provost’s Office website.
---
Purchasing Conflict of Interest (applies to faculty and staff)
According to Yale’s [General Purchasing Policy 3201](https://your.yale.edu/policies-procedures/policies/3201-general-purchasing), a purchasing conflict of interest exists when a Yale employee, officer, or agent, any member of his or her immediate family, his or her partner, or an organization which employs or is about to employ any of the parties indicated herein, has a financial or other interest in or a tangible personal benefit from a supplier considered for a Yale purchasing transaction. Prior to purchasing or requesting goods or services from any entity in which you have a financial interest, contact Yale’s Purchasing Department for guidance, as additional disclosure requirements and certain restrictions may apply.
---
Staff Workplace Policies
Full–time non–faculty employees are expected to satisfy all of the requirements of their jobs, and should not permit outside activities to interfere with the performance of their Yale obligations. Some departments prohibit staff employees from consulting or engaging in other outside employment because of the likelihood of such interference. Other departments may permit certain outside activities, with appropriate notice to and written approval by the employee’s supervisor, so long as they do not interfere with employees’ Yale obligations. The [Staff Workplace Policies](/work-yale/staff-workplace-policies) set forth the University’s general expectations about staff and the avoidance of conflicts in performance of their duties.
---
Conflict of Interest Disclosure for Senior Administrators
Certain senior, non–faculty administrators designated by the President are also required to submit annual disclosures of outside activities and financial interests. These disclosures must be prepared on the *Conflict of Interest Disclosure Form for Senior Administrators* and submitted to the Office of the Vice President and General Counsel. The form will be provided to those administrators who are designated to submit them.","The provided markdown contains several sections with substantive policy content detailing Yale University’s conflict of interest guidelines. Although the page also includes navigation menus, logos, and other extraneous links, the central sections under headings such as 'Yale University Policy on Conflict of Interest', 'Disclosure of External Activities and Financial Interests', 'Yale Faculty Handbook', 'Purchasing Conflict of Interest', 'Staff Workplace Policies', and 'Conflict of Interest Disclosure for Senior Administrators' provide actual policy text. Therefore, the document is not merely a set of policy links but includes integrated policy content.",/Users/pouria/Documents/Coding/YDR Policy Scraping/data/processed/scraped_policies/policies-procedures-guidance.txt
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses,data/crawled_data/markdown_files/policy_depth_1_policies_grandroundsexpenses.md,True,5,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/coi"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/timeaway"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/grandroundsexpenses""]",[],True,"# Grand Rounds Allowable Expenses

## Hotel:

Up to a two‐night stay will be provided by Yale Radiology at one of the following hotels:

• Omni New Haven (203) 772-6664 (mention Yale Radiology Residency Program for discount)
• The Blake Hotel (203) 390-5352 (mention Yale Radiology Residency Program for discount)
• The Study at Yale (203) 503-3900 (mention Yale Radiology Residency Program for discount)

Included with room charges: Parking (if applicable), local phone, and meals.

If the speaker wishes to stay additional days, he/she is responsible for the additional hotel charges.

---

## Transportation

### Roundtrip Coach Airfare:

Reimbursed by YDR from the home city to the following:

• Tweed New Haven Airport, New Haven, CT
• Bradley International Airport, Hartford, CT
• JFK International Airport, NYC
• LaGuardia Airport, NYC
• White Plains, NY
• TF Green Airport, Providence, RI

Airplane tickets should be booked 6 weeks in advance if possible. If a multi-destination ticket is necessary due to other commitments, YDR will reimburse the cost of a round trip coach ticket from the home city to Bradley International Airport (BDL) booked 6 weeks in advance.

### Round Trip Train Fare:

Metro North or Amtrak (Regional or Acela – Business Class Only for Acela) to Union Station

### Taxi Service/Uber:

Reimbursable from Tweed New Haven Airport or train station.

Metro Taxi: (203) 777-7777

### Limo Transportation or Rental Car:

Reimbursable for all other Connecticut, New York, and RI airports.

Hy’s Limo: (203) 934-6331 (mention Yale Radiology Residency Program for discount)

### Personal Car:

Mileage reimbursed at the current IRS rate.

---

## Honorarium:

• Grand Rounds only: $500
• Grand Rounds & Resident Conference: $750
• Grand Rounds, Resident Conference & Board Review: $1,000

(Yale Faculty do not receive the honorarium but may be invited to dinner.)

---

## Grand Rounds Dinner & Meeting Itinerary:

(Host’s administrative assistant arranges dinner)

Maximum total of $625.00 or $125.00 per person (maximum of 5 people).* Alcohol is included.

Refer to Yale University policy FR 3401.

In the case of a Yale Diagnostic Radiology Faculty Grand Rounds speaker, dinner is included with host and guests up to $300 maximum.*

*Monies from the section or personal staff accounts can be used to supplement this amount.

### Lunch:

Host may use PCard to take Lecture to YNHH Café. Expense will be reimbursed to host by the department.

### Meeting Itinerary:

Host’s administrative assistant arranges meeting itinerary for the speaker with Yale faculty members.","The document contains detailed policy text regarding allowable expenses for Grand Rounds events, including provisions for hotel stays, various transportation options, honorarium amounts, and guidelines for meals and meeting itineraries. Extraneous navigation and non-policy sections (such as the source URL and list of identified links) were removed to isolate the actual policy content.",/Users/pouria/Documents/Coding/YDR Policy Scraping/data/processed/scraped_policies/grandroundsexpenses.txt
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/timeaway,data/crawled_data/markdown_files/policy_depth_1_policies_timeaway.md,True,2,"[""https://medicine.yale.edu/oapd/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/SOPs/SOP_Parental_Leave_Oct_2018_332434_284_43076_v4.pdf""]",[],True,"Leave of Absence

Sabbatical & Triennial Leaves of Absence

The leave of absence policies for sabbatical and triennial leaves described here apply to faculty in the Traditional Track, Investigator Track, Clinician-Educator Track, and Clinician-Scholar Track. Note that the Leave of Absence policy for the School of Medicine differs from the policy set forth in the Yale University Faculty Handbook.

---

School of Medicine Sabbatical and Triennial Leave Policy

Faculty members become eligible for an initial Sabbatical or Triennial Leave after having taught at the rank of Associate Professor or Professor for two years. The Initial Leave of Absence may be a triennial or a sabbatical.

Deadline: The deadline for submitting a request for Sabbatical or Triennial Leave of Absence beginning on or after July 1, for any academic year, is January 16 of the previous academic year (e.g., requests for leaves effective during the 2015-2016 academic year must be received by January 16, 2015). This is an absolute deadline. There can be NO EXCEPTIONS made to this policy.

Related Links:
- [Leave of Absence Process & Requirements](https://medicine.yale.edu/oapd/)
- [Download Leave of Absence form](https://medicine.yale.edu/oapd/)
- [YDR Paternity Leave SOP](https://medicine.yale.edu/diagnosticradiology/facintranet/SOPs/SOP_Parental_Leave_Oct_2018_332434_284_43076_v4.pdf)","The document contains actual policy text regarding leave of absence procedures for sabbatical and triennial leaves, including details on eligibility and deadlines for faculty. Extraneous metadata such as source information and a preliminary list of links were removed, while integral links and policy details have been retained.",/Users/pouria/Documents/Coding/YDR Policy Scraping/data/processed/scraped_policies/timeaway.txt
https://medicine.yale.edu/diagnosticradiology/patientcare/policies/,data/crawled_data/markdown_files/policy_depth_2_patientcare_policies.md,True,22,"[""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/premedication"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/oralcontrast"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/singlekidney"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/gadolinium"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/gonadal"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/powerinjection"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/breastfeeding"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/myastheniagravis"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/intraosseousneedlecontrastinjection"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/pregnantpatientpolicy"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/oralcontrastct-ed"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/suspectpeinpregnancypolicy"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/insulinpumpctpolicy"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/critguidelines"", ""https://medicine.yale.edu/diagnosticradiology/patientcare/policies/changeorderbtn"", ""https://files-profile.medicine.yale.edu/documents/b7204764-4f92-41eb-bcf2-5e8b4f5127bc"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/oral/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/kidney/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/nephropathy%20/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/glucophage/"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/breastfeeding/""]",[],False,,"The markdown content only lists links to policies and does not include any actual policy text. It serves as a navigation page directing users to various policy documents, rather than containing the substantive policy details themselves.",
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/breastfeeding/,data/crawled_data/markdown_files/policy_depth_3_guidelines_breastfeeding.md,True,3,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast""]",[],True,"Diagnostic Radiology Procedures on Breastfeeding Patients

Policy

It is the policy of Diagnostic Radiology to routinely ask all women of childbearing years (refer to Nursing Policy – childbearing years defined as 10 – 60 years old) if they are pregnant or breastfeeding in all areas of Diagnostic Radiology, with the exception of Ultrasound.

---

Procedure

If the patient indicates that they are not breastfeeding, routine imaging proceeds.

If the patient is breastfeeding:

• For all non-contrast exams, excluding Nuclear Medicine exams, routine imaging proceeds.

• For all IV iodinated contrast and gadolinium, American College of Radiology (ACR) guidelines state that contrast administration to the mother is considered safe for both the baby and nursing mother. Mothers who are breastfeeding should be given the opportunity to make an informed decision as to whether to continue or temporarily abstain from breastfeeding after receiving IV contrast. If the mother remains concerned about any potential ill effects to the infant, she may abstain from breast-feeding for 24 hours with active expression and discarding of breast milk from both breasts during that period. In anticipation of this, she may wish to use a breast pump to obtain milk before the contrast study to feed the infant during the 24‑hour period following the examination.

• For all breast-feeding patients who are scheduled for Nuclear Medicine exams and/or procedures, the DR attending physician must be consulted prior to any testing performed.

The DR attending physician will discuss with the patient’s attending if the exam should be postponed, canceled, or if the procedure will be performed.

• Patients who have a Tc‑99m nuclear medicine procedure should not let their infants breastfeed for 72 hours after the exam. During this 72‑hour period they can pump the breast milk and store it. This milk can be given to the infant after it has been stored for 72 hours. The patient only needs to pump and store the breast milk for 72 hours after the exam has been completed. The milk does not need to be discarded because of the nuclear test.

• For patients who can have the exam postponed, the patient can pump prior to returning for the test and freeze the milk. This stored milk can be given to the infant when the patient returns for the exam. Immediately following the exam, the patient should continue to pump the breast milk for 72 hours and properly store it so that the isotope has time to decay prior to giving it to the infant.

• For other radioisotopes, consult with the NM attending physician or RSO regarding the appropriate waiting period before resuming breast‑feeding or using stored breast milk.","The document contains a clearly demarcated policy section titled 'Diagnostic Radiology Procedures on Breastfeeding Patients' with subsections for Policy and Procedure. Extraneous navigation and links have been omitted, resulting in a focused extract of the actual policy text.",/Users/pouria/Documents/Coding/YDR Policy Scraping/data/processed/scraped_policies/.txt
https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/glucophage/,data/crawled_data/markdown_files/policy_depth_3_guidelines_glucophage.md,True,4,"[""https://medicine.yale.edu/diagnosticradiology/facintranet/policies"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/contrast"", ""https://medicine.yale.edu/diagnosticradiology/facintranet/policies/guidelines/glucophage/""]",[],True,"For Diabetic Patients on Glucophage or Glucovance
Metformin and Iodinated Contrast

How to take your oral diabetes medications containing Metformin after you receive iodinated contrast dye for a CT scan

Diabetes medications that contain Metformin include:
• Metformin (Glucophage/Glucophage XR, Glumetza, Riomet, Fortamet)
• Alogliptin/metformin (Kazano)
• Canagliflozin/metformin (Invokamet/Invokamet XR)
• Dapagliflozin/metformin (Xigduo XR)
• Empagliflozin/metformin (Synjardy/Synjardy XR)
• Ertugliflozin/metformin (Segluromet)
• Glipizide/metformin (Metaglip)
• Glyburide/metformin (Glucovance)
• Linagliptin/metformin (Jentadueto/Jentadueto XR)
• Pioglitazone/metformin (Actoplus Met/Actoplus Met XR)
• Repaglinide/metformin (Prandimet)
• Rosiglitazone/metformin (Avandamet)
• Saxagliptin/metformin (Kombiglyze XR)
• Sitagliptin/metformin (Janumet/Janumet XR)
• Vildagliptin/metformin (Eucreas)

Why should I be taking my metformin differently?
In rare instances, Metformin can cause a severe side effect called lactic acidosis. This risk is elevated in patients with decreased kidney function (an eGFR less than 30 mL/min), as iodinated contrast dye can further increase that risk.

What should I do?
• If you have decreased kidney function (eGFR less than 30 mL/min):
  - Stop taking metformin or metformin-containing products and contact your doctor within 48 hours before restarting.
  - Bring the accompanying form with you to your doctor’s appointment.
• If you have normal kidney function (eGFR 30 mL/min or greater):
  - Continue taking metformin as originally prescribed.

Questions or concerns:
If you have any questions or concerns, talk to your doctor or pharmacist.","The markdown content contains a clear clinical guideline addressing how diabetic patients taking Metformin (under the brand names Glucophage or Glucovance) should manage their medication in relation to receiving iodinated contrast dye. While the document initially lists navigation and link information, the main body of the text provides substantive policy details including medication lists, risk explanations, and step-by-step instructions, which qualifies it as policy text.",/Users/pouria/Documents/Coding/YDR Policy Scraping/data/processed/scraped_policies/.txt
